post_title,post_name,post_type,post_parent,attribute:pa_color,attribute_data:pa_color,attribute:pa_series,attribute_data:pa_series,_woodmart_swatch_color,images
TM253,tm253,product_variation,{{ID}},TM253,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm253.jpg
TM254,tm254,product_variation,{{ID}},TM254,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm254.jpg
TM255,tm255,product_variation,{{ID}},TM255,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm255.jpg
TM256,tm256,product_variation,{{ID}},TM256,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm256.jpg
TM257,tm257,product_variation,{{ID}},TM257,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm257.jpg
TM258,tm258,product_variation,{{ID}},TM258,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm258.jpg
TM259,tm259,product_variation,{{ID}},TM259,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm259.jpg
TM260,tm260,product_variation,{{ID}},TM260,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm260.jpg
TM261,tm261,product_variation,{{ID}},TM261,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm261.jpg
TM262,tm262,product_variation,{{ID}},TM262,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm262.jpg
TM263,tm263,product_variation,{{ID}},TM263,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm263.jpg
TM264,tm264,product_variation,{{ID}},TM264,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm264.jpg
TM266,tm266,product_variation,{{ID}},TM266,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm266.jpg
TM267,tm267,product_variation,{{ID}},TM267,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm267.jpg
TM268,tm268,product_variation,{{ID}},TM268,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm268.jpg
TM270,tm270,product_variation,{{ID}},TM270,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm270.jpg
TM271,tm271,product_variation,{{ID}},TM271,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm271.jpg
TM272,tm272,product_variation,{{ID}},TM272,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm272.jpg
TM273,tm273,product_variation,{{ID}},TM273,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm273.jpg
TM274,tm274,product_variation,{{ID}},TM274,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm274.jpg
TM275,tm275,product_variation,{{ID}},TM275,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm275.jpg
TM276,tm276,product_variation,{{ID}},TM276,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm276.jpg
TM277,tm277,product_variation,{{ID}},TM277,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm277.jpg
TM278,tm278,product_variation,{{ID}},TM278,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm278.jpg
TM279,tm279,product_variation,{{ID}},TM279,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm279.jpg
