taxonomy,term name,term slug,term description,image
pa_color,CK 1195,ck-1195,"Колір CK 1195, HEX #a4a978",colors/ck-1195.png
pa_color,AK 1196,ak-1196,"Колір AK 1196, HEX #eae6c0",colors/ak-1196.png
pa_color,BK 1197,bk-1197,"Колір BK 1197, HEX #dcd9ad",colors/bk-1197.png
pa_color,BK 1198,bk-1198,"Колір BK 1198, HEX #d4d49e",colors/bk-1198.png
pa_color,CK 1199,ck-1199,"Колір CK 1199, HEX #cbcd8a",colors/ck-1199.png
pa_color,DK 1200,dk-1200,"Колір DK 1200, HEX #b6c275",colors/dk-1200.png
pa_color,AK 1201,ak-1201,"Колір AK 1201, HEX #ede8cd",colors/ak-1201.png
pa_color,AK 1202,ak-1202,"Колір AK 1202, HEX #e7e3c1",colors/ak-1202.png
pa_color,BK 1203,bk-1203,"Колір BK 1203, HEX #e3e2b3",colors/bk-1203.png
pa_color,BK 1204,bk-1204,"Колір BK 1204, HEX #e0e4a3",colors/bk-1204.png
pa_color,CK 1205,ck-1205,"Колір CK 1205, HEX #e0e193",colors/ck-1205.png
pa_color,AK 1206,ak-1206,"Колір AK 1206, HEX #ebe5d2",colors/ak-1206.png
pa_color,AK 1207,ak-1207,"Колір AK 1207, HEX #e6dfca",colors/ak-1207.png
pa_color,AK 1208,ak-1208,"Колір AK 1208, HEX #ece1c5",colors/ak-1208.png
pa_color,AK 1209,ak-1209,"Колір AK 1209, HEX #e8dcb6",colors/ak-1209.png
pa_color,BK 1210,bk-1210,"Колір BK 1210, HEX #e7dda7",colors/bk-1210.png
pa_color,AK 1213,ak-1213,"Колір AK 1213, HEX #e4dfce",colors/ak-1213.png
pa_color,AK 1214,ak-1214,"Колір AK 1214, HEX #e4e0c4",colors/ak-1214.png
pa_color,BK 1215,bk-1215,"Колір BK 1215, HEX #e0dab5",colors/bk-1215.png
pa_color,AK 1216,ak-1216,"Колір AK 1216, HEX #eae8de",colors/ak-1216.png
pa_color,AK 1217,ak-1217,"Колір AK 1217, HEX #d8d4c5",colors/ak-1217.png
pa_color,AK 1218,ak-1218,"Колір AK 1218, HEX #e4dccb",colors/ak-1218.png
pa_color,AK 1219,ak-1219,"Колір AK 1219, HEX #c9cab6",colors/ak-1219.png
pa_color,AK 1220,ak-1220,"Колір AK 1220, HEX #b1b296",colors/ak-1220.png
pa_color,AK 1222,ak-1222,"Колір AK 1222, HEX #e2d8ca",colors/ak-1222.png
pa_color,AK 1223,ak-1223,"Колір AK 1223, HEX #e6d3c4",colors/ak-1223.png
pa_color,AK 1224,ak-1224,"Колір AK 1224, HEX #e1c7ae",colors/ak-1224.png
pa_color,AK 1226,ak-1226,"Колір AK 1226, HEX #eae1d3",colors/ak-1226.png
pa_color,AK 1227,ak-1227,"Колір AK 1227, HEX #e4d8c5",colors/ak-1227.png
pa_color,AK 1228,ak-1228,"Колір AK 1228, HEX #e3d1c1",colors/ak-1228.png
pa_color,AK 1229,ak-1229,"Колір AK 1229, HEX #e0c0a9",colors/ak-1229.png
pa_color,AK 1230,ak-1230,"Колір AK 1230, HEX #d8b194",colors/ak-1230.png
pa_color,BK 1231,bk-1231,"Колір BK 1231, HEX #aa836e",colors/bk-1231.png
pa_color,BK 1232,bk-1232,"Колір BK 1232, HEX #a57d67",colors/bk-1232.png
pa_color,CK 1233,ck-1233,"Колір CK 1233, HEX #8c6e53",colors/ck-1233.png
pa_color,BK 1234,bk-1234,"Колір BK 1234, HEX #83644c",colors/bk-1234.png
pa_color,DK 1235,dk-1235,"Колір DK 1235, HEX #64534d",colors/dk-1235.png
pa_color,BK 1236,bk-1236,"Колір BK 1236, HEX #edeae5",colors/bk-1236.png
pa_color,AK 1237,ak-1237,"Колір AK 1237, HEX #c3c4bf",colors/ak-1237.png
pa_color,AK 1238,ak-1238,"Колір AK 1238, HEX #bbbbb5",colors/ak-1238.png
pa_color,AK 1239,ak-1239,"Колір AK 1239, HEX #a8aca7",colors/ak-1239.png
pa_color,AK 1240,ak-1240,"Колір AK 1240, HEX #9ea19c",colors/ak-1240.png
pa_color,AK 1242,ak-1242,"Колір AK 1242, HEX #d3d1cd",colors/ak-1242.png
pa_color,AK 1243,ak-1243,"Колір AK 1243, HEX #c3c4bf",colors/ak-1243.png
pa_color,BK 1244,bk-1244,"Колір BK 1244, HEX #a9aba9",colors/bk-1244.png
pa_color,BK 1245,bk-1245,"Колір BK 1245, HEX #979c9a",colors/bk-1245.png
pa_color,AK 1246,ak-1246,"Колір AK 1246, HEX #dcd9d4",colors/ak-1246.png
pa_color,AK 1247,ak-1247,"Колір AK 1247, HEX #d2cec7",colors/ak-1247.png
pa_color,AK 1248,ak-1248,"Колір AK 1248, HEX #c1bdba",colors/ak-1248.png
pa_color,AK 1249,ak-1249,"Колір AK 1249, HEX #adaeaa",colors/ak-1249.png
pa_color,AK 1250,ak-1250,"Колір AK 1250, HEX #9fa09e",colors/ak-1250.png
pa_color,AK 1251,ak-1251,"Колір AK 1251, HEX #ddd5d1",colors/ak-1251.png
pa_color,AK 1252,ak-1252,"Колір AK 1252, HEX #ccc4c0",colors/ak-1252.png
pa_color,AK 1253,ak-1253,"Колір AK 1253, HEX #bebab7",colors/ak-1253.png
pa_color,AK 1254,ak-1254,"Колір AK 1254, HEX #b5b2b1",colors/ak-1254.png
pa_color,AK 1255,ak-1255,"Колір AK 1255, HEX #9f9d9a",colors/ak-1255.png
pa_color,AK 1256,ak-1256,"Колір AK 1256, HEX #d7d0cd",colors/ak-1256.png
pa_color,AK 1257,ak-1257,"Колір AK 1257, HEX #d2cac6",colors/ak-1257.png
pa_color,AK 1258,ak-1258,"Колір AK 1258, HEX #c1bdb6",colors/ak-1258.png
pa_color,AK 1259,ak-1259,"Колір AK 1259, HEX #b2aca8",colors/ak-1259.png
pa_color,AK 1261,ak-1261,"Колір AK 1261, HEX #e9e0da",colors/ak-1261.png
pa_color,AK 1262,ak-1262,"Колір AK 1262, HEX #d3cec3",colors/ak-1262.png
pa_color,AK 1263,ak-1263,"Колір AK 1263, HEX #cfc4bb",colors/ak-1263.png
pa_color,AK 1264,ak-1264,"Колір AK 1264, HEX #bcaea2",colors/ak-1264.png
pa_color,AK 1265,ak-1265,"Колір AK 1265, HEX #a99b8d",colors/ak-1265.png
pa_color,AK 1266,ak-1266,"Колір AK 1266, HEX #d7d6d5",colors/ak-1266.png
pa_color,AK 1267,ak-1267,"Колір AK 1267, HEX #c9c6be",colors/ak-1267.png
pa_color,AK 1268,ak-1268,"Колір AK 1268, HEX #c1bdb6",colors/ak-1268.png
pa_color,AK 1269,ak-1269,"Колір AK 1269, HEX #b1b0a9",colors/ak-1269.png
pa_color,AK 1270,ak-1270,"Колір AK 1270, HEX #9d9b92",colors/ak-1270.png
pa_color,AK 1271,ak-1271,"Колір AK 1271, HEX #b0b0b0",colors/ak-1271.png
pa_color,AK 1272,ak-1272,"Колір AK 1272, HEX #999896",colors/ak-1272.png
pa_color,AK 1273,ak-1273,"Колір AK 1273, HEX #888888",colors/ak-1273.png
pa_color,AK 1274,ak-1274,"Колір AK 1274, HEX #5e6162",colors/ak-1274.png
pa_color,BK 1275,bk-1275,"Колір BK 1275, HEX #5e6162",colors/bk-1275.png
pa_color,CK 1276,ck-1276,"Колір CK 1276, HEX #9c7e5f",colors/ck-1276.png
pa_color,BK 1277,bk-1277,"Колір BK 1277, HEX #917267",colors/bk-1277.png
pa_color,BK 1278,bk-1278,"Колір BK 1278, HEX #87685a",colors/bk-1278.png
pa_color,DK 1279,dk-1279,"Колір DK 1279, HEX #7a5c4f",colors/dk-1279.png
pa_color,BK 1280,bk-1280,"Колір BK 1280, HEX #664f45",colors/bk-1280.png
pa_color,AK 1281,ak-1281,"Колір AK 1281, HEX #e6ded0",colors/ak-1281.png
pa_color,AK 1282,ak-1282,"Колір AK 1282, HEX #e2d9c7",colors/ak-1282.png
pa_color,AK 1283,ak-1283,"Колір AK 1283, HEX #e7d0bd",colors/ak-1283.png
pa_color,AK 1284,ak-1284,"Колір AK 1284, HEX #ddc1a8",colors/ak-1284.png
pa_color,AK 1285,ak-1285,"Колір AK 1285, HEX #caae94",colors/ak-1285.png
pa_color,AK 1286,ak-1286,"Колір AK 1286, HEX #e8dacf",colors/ak-1286.png
pa_color,AK 1287,ak-1287,"Колір AK 1287, HEX #e3d4c8",colors/ak-1287.png
pa_color,AK 1288,ak-1288,"Колір AK 1288, HEX #d8c6b6",colors/ak-1288.png
pa_color,AK 1289,ak-1289,"Колір AK 1289, HEX #c7b2a2",colors/ak-1289.png
pa_color,AK 1290,ak-1290,"Колір AK 1290, HEX #b49f8d",colors/ak-1290.png
pa_color,AK 1291,ak-1291,"Колір AK 1291, HEX #e5d7cc",colors/ak-1291.png
pa_color,AK 1292,ak-1292,"Колір AK 1292, HEX #efdfd7",colors/ak-1292.png
pa_color,AK 1293,ak-1293,"Колір AK 1293, HEX #d8c9c0",colors/ak-1293.png
pa_color,AK 1294,ak-1294,"Колір AK 1294, HEX #cdb3aa",colors/ak-1294.png
pa_color,AK 1295,ak-1295,"Колір AK 1295, HEX #b39b90",colors/ak-1295.png
pa_color,AK 1296,ak-1296,"Колір AK 1296, HEX #e5d3cb",colors/ak-1296.png
pa_color,AK 1297,ak-1297,"Колір AK 1297, HEX #decac3",colors/ak-1297.png
pa_color,AK 1298,ak-1298,"Колір AK 1298, HEX #dbc0b7",colors/ak-1298.png
pa_color,AK 1299,ak-1299,"Колір AK 1299, HEX #c8aa9e",colors/ak-1299.png
pa_color,AK 1300,ak-1300,"Колір AK 1300, HEX #b39489",colors/ak-1300.png
pa_color,AK 1301,ak-1301,"Колір AK 1301, HEX #d5cfd5",colors/ak-1301.png
pa_color,AK 1302,ak-1302,"Колір AK 1302, HEX #b8b7bf",colors/ak-1302.png
pa_color,AK 1303,ak-1303,"Колір AK 1303, HEX #a8aab7",colors/ak-1303.png
