SKU,Type,Parent SKU,Name,Attribute:Color,Attribute:Color Visible,Attribute:Color Global,Images,Image Alt Text,HEX,Description
bk-1175,variation,kosbud,BK 1175,BK 1175,1,1,colors/bk-1175.png,BK 1175 – #f6c192 swatch,#f6c192,"Колір BK 1175, HEX #f6c192"
ak-1176,variation,kosbud,AK 1176,AK 1176,1,1,colors/ak-1176.png,AK 1176 – #f2e9dd swatch,#f2e9dd,"Колір AK 1176, HEX #f2e9dd"
ak-1177,variation,kosbud,AK 1177,AK 1177,1,1,colors/ak-1177.png,AK 1177 – #edddc6 swatch,#edddc6,"Колір AK 1177, HEX #edddc6"
bk-1178,variation,kosbud,BK 1178,BK 1178,1,1,colors/bk-1178.png,BK 1178 – #f2d5b2 swatch,#f2d5b2,"Колір BK 1178, HEX #f2d5b2"
bk-1179,variation,kosbud,BK 1179,BK 1179,1,1,colors/bk-1179.png,BK 1179 – #f2d1ad swatch,#f2d1ad,"Колір BK 1179, HEX #f2d1ad"
bk-1180,variation,kosbud,BK 1180,BK 1180,1,1,colors/bk-1180.png,BK 1180 – #f6cca3 swatch,#f6cca3,"Колір BK 1180, HEX #f6cca3"
ak-1181,variation,kosbud,AK 1181,AK 1181,1,1,colors/ak-1181.png,AK 1181 – #eedcc8 swatch,#eedcc8,"Колір AK 1181, HEX #eedcc8"
ak-1182,variation,kosbud,AK 1182,AK 1182,1,1,colors/ak-1182.png,AK 1182 – #ecd5c3 swatch,#ecd5c3,"Колір AK 1182, HEX #ecd5c3"
ak-1183,variation,kosbud,AK 1183,AK 1183,1,1,colors/ak-1183.png,AK 1183 – #eacfb8 swatch,#eacfb8,"Колір AK 1183, HEX #eacfb8"
ak-1184,variation,kosbud,AK 1184,AK 1184,1,1,colors/ak-1184.png,AK 1184 – #e9c5aa swatch,#e9c5aa,"Колір AK 1184, HEX #e9c5aa"
