post_type,post_title,post_name,sku,post_parent,post_parent_sku,attribute:pa_color,attribute_data:pa_color,_woodmart_swatch_color,images
product_variation,AK 1261,ak-1261,AK-1261,,AK-PALETTE,AK 1261,1,#e9e0da,
product_variation,AK 1262,ak-1262,AK-1262,,AK-PALETTE,AK 1262,1,#d3cec3,
product_variation,AK 1263,ak-1263,AK-1263,,AK-PALETTE,AK 1263,1,#cfc4bb,
product_variation,AK 1264,ak-1264,AK-1264,,AK-PALETTE,AK 1264,1,#bcaea2,
product_variation,AK 1265,ak-1265,AK-1265,,AK-PALETTE,AK 1265,1,#a99b8d,
product_variation,AK 1266,ak-1266,AK-1266,,AK-PALETTE,AK 1266,1,#d7d6d5,
product_variation,AK 1267,ak-1267,AK-1267,,AK-PALETTE,AK 1267,1,#c9c6be,
product_variation,AK 1268,ak-1268,AK-1268,,AK-PALETTE,AK 1268,1,#c1bdb6,
product_variation,AK 1269,ak-1269,AK-1269,,AK-PALETTE,AK 1269,1,#b1b0a9,
product_variation,AK 1270,ak-1270,AK-1270,,AK-PALETTE,AK 1270,1,#9d9b92,
product_variation,AK 1271,ak-1271,AK-1271,,AK-PALETTE,AK 1271,1,#b0b0b0,
product_variation,AK 1272,ak-1272,AK-1272,,AK-PALETTE,AK 1272,1,#999896,
product_variation,AK 1273,ak-1273,AK-1273,,AK-PALETTE,AK 1273,1,#888888,
product_variation,AK 1274,ak-1274,AK-1274,,AK-PALETTE,AK 1274,1,#5e6162,
product_variation,AK 1281,ak-1281,AK-1281,,AK-PALETTE,AK 1281,1,#e6ded0,
product_variation,AK 1282,ak-1282,AK-1282,,AK-PALETTE,AK 1282,1,#e2d9c7,
product_variation,AK 1283,ak-1283,AK-1283,,AK-PALETTE,AK 1283,1,#e7d0bd,
product_variation,AK 1284,ak-1284,AK-1284,,AK-PALETTE,AK 1284,1,#ddc1a8,
product_variation,AK 1285,ak-1285,AK-1285,,AK-PALETTE,AK 1285,1,#caae94,
product_variation,AK 1286,ak-1286,AK-1286,,AK-PALETTE,AK 1286,1,#e8dacf,
product_variation,AK 1287,ak-1287,AK-1287,,AK-PALETTE,AK 1287,1,#e3d4c8,
product_variation,AK 1288,ak-1288,AK-1288,,AK-PALETTE,AK 1288,1,#d8c6b6,
product_variation,AK 1289,ak-1289,AK-1289,,AK-PALETTE,AK 1289,1,#c7b2a2,
product_variation,AK 1290,ak-1290,AK-1290,,AK-PALETTE,AK 1290,1,#b49f8d,
product_variation,AK 1291,ak-1291,AK-1291,,AK-PALETTE,AK 1291,1,#e5d7cc,
product_variation,AK 1292,ak-1292,AK-1292,,AK-PALETTE,AK 1292,1,#efdfd7,
product_variation,AK 1293,ak-1293,AK-1293,,AK-PALETTE,AK 1293,1,#d8c9c0,
product_variation,AK 1294,ak-1294,AK-1294,,AK-PALETTE,AK 1294,1,#cdb3aa,
product_variation,AK 1295,ak-1295,AK-1295,,AK-PALETTE,AK 1295,1,#b39b90,
product_variation,AK 1296,ak-1296,AK-1296,,AK-PALETTE,AK 1296,1,#e5d3cb,
product_variation,AK 1297,ak-1297,AK-1297,,AK-PALETTE,AK 1297,1,#decac3,
product_variation,AK 1298,ak-1298,AK-1298,,AK-PALETTE,AK 1298,1,#dbc0b7,
product_variation,AK 1299,ak-1299,AK-1299,,AK-PALETTE,AK 1299,1,#c8aa9e,
product_variation,AK 1300,ak-1300,AK-1300,,AK-PALETTE,AK 1300,1,#b39489,
product_variation,AK 1301,ak-1301,AK-1301,,AK-PALETTE,AK 1301,1,#d5cfd5,
product_variation,AK 1302,ak-1302,AK-1302,,AK-PALETTE,AK 1302,1,#b8b7bf,
product_variation,AK 1303,ak-1303,AK-1303,,AK-PALETTE,AK 1303,1,#a8aab7,
product_variation,AK 1304,ak-1304,AK-1304,,AK-PALETTE,AK 1304,1,#9c9ca8,
product_variation,AK 1305,ak-1305,AK-1305,,AK-PALETTE,AK 1305,1,#828593,
product_variation,AK 1306,ak-1306,AK-1306,,AK-PALETTE,AK 1306,1,#d1dcd9,
product_variation,AK 1311,ak-1311,AK-1311,,AK-PALETTE,AK 1311,1,#d5dbd5,
product_variation,AK 1312,ak-1312,AK-1312,,AK-PALETTE,AK 1312,1,#c3cec7,
product_variation,AK 1313,ak-1313,AK-1313,,AK-PALETTE,AK 1313,1,#b9cac4,
product_variation,AK 1314,ak-1314,AK-1314,,AK-PALETTE,AK 1314,1,#aabcb8,
product_variation,AK 1316,ak-1316,AK-1316,,AK-PALETTE,AK 1316,1,#bcd6d8,
product_variation,AK 1317,ak-1317,AK-1317,,AK-PALETTE,AK 1317,1,#accccf,
product_variation,AK 1318,ak-1318,AK-1318,,AK-PALETTE,AK 1318,1,#a6c6c9,
product_variation,AK 1319,ak-1319,AK-1319,,AK-PALETTE,AK 1319,1,#94bdc4,
product_variation,AK 1320,ak-1320,AK-1320,,AK-PALETTE,AK 1320,1,#7cadba,
product_variation,AK 1321,ak-1321,AK-1321,,AK-PALETTE,AK 1321,1,#c2d5d6,
product_variation,AK 1322,ak-1322,AK-1322,,AK-PALETTE,AK 1322,1,#bdd2d3,
product_variation,AK 1323,ak-1323,AK-1323,,AK-PALETTE,AK 1323,1,#96c8da,
product_variation,AK 1324,ak-1324,AK-1324,,AK-PALETTE,AK 1324,1,#65b8d6,
product_variation,AK 1325,ak-1325,AK-1325,,AK-PALETTE,AK 1325,1,#52aad3,
product,Acrylit-ST палітра BK,palette-bk,BK-PALETTE,,,"BK 1104,BK 1105,BK 1107,BK 1108,BK 1109,BK 1110,BK 1111,BK 1112,BK 1116,BK 1117,BK 1131,BK 1132,BK 1142,BK 1143,BK 1150,BK 1154,BK 1155,BK 1160,BK 1167,BK 1168,BK 1169,BK 1175,BK 1178,BK 1179,BK 1180,BK 1185,BK 1192,BK 1193,BK 1194,BK 1197,BK 1198,BK 1203,BK 1204,BK 1210,BK 1215,BK 1231,BK 1232,BK 1234,BK 1236,BK 1244,BK 1245,BK 1275,BK 1277,BK 1278,BK 1280,BK 1307,BK 1308,BK 1309,BK 1315",1,,
product_variation,BK 1104,bk-1104,BK-1104,,BK-PALETTE,BK 1104,1,#f5de94,
product_variation,BK 1105,bk-1105,BK-1105,,BK-PALETTE,BK 1105,1,#efda77,
product_variation,BK 1107,bk-1107,BK-1107,,BK-PALETTE,BK 1107,1,#ecdfb3,
product_variation,BK 1108,bk-1108,BK-1108,,BK-PALETTE,BK 1108,1,#eedfaa,
product_variation,BK 1109,bk-1109,BK-1109,,BK-PALETTE,BK 1109,1,#f1df98,
product_variation,BK 1110,bk-1110,BK-1110,,BK-PALETTE,BK 1110,1,#f5de8e,
product_variation,BK 1111,bk-1111,BK-1111,,BK-PALETTE,BK 1111,1,#efdc92,
product_variation,BK 1112,bk-1112,BK-1112,,BK-PALETTE,BK 1112,1,#efd97f,
product_variation,BK 1116,bk-1116,BK-1116,,BK-PALETTE,BK 1116,1,#f0d895,
product_variation,BK 1117,bk-1117,BK-1117,,BK-PALETTE,BK 1117,1,#f4d781,
product_variation,BK 1131,bk-1131,BK-1131,,BK-PALETTE,BK 1131,1,#e4b08a,
product_variation,BK 1132,bk-1132,BK-1132,,BK-PALETTE,BK 1132,1,#db9a62,
product_variation,BK 1142,bk-1142,BK-1142,,BK-PALETTE,BK 1142,1,#be796b,
product_variation,BK 1143,bk-1143,BK-1143,,BK-PALETTE,BK 1143,1,#b25f53,
product_variation,BK 1150,bk-1150,BK-1150,,BK-PALETTE,BK 1150,1,#dfbf88,
product_variation,BK 1154,bk-1154,BK-1154,,BK-PALETTE,BK 1154,1,#ebd8ac,
product_variation,BK 1155,bk-1155,BK-1155,,BK-PALETTE,BK 1155,1,#e7cb92,
product_variation,BK 1160,bk-1160,BK-1160,,BK-PALETTE,BK 1160,1,#f0cc8d,
product_variation,BK 1167,bk-1167,BK-1167,,BK-PALETTE,BK 1167,1,#efd6b0,
product_variation,BK 1168,bk-1168,BK-1168,,BK-PALETTE,BK 1168,1,#efcb9d,
product_variation,BK 1169,bk-1169,BK-1169,,BK-PALETTE,BK 1169,1,#eec592,
product_variation,BK 1175,bk-1175,BK-1175,,BK-PALETTE,BK 1175,1,#f6c192,
product_variation,BK 1178,bk-1178,BK-1178,,BK-PALETTE,BK 1178,1,#f2d5b2,
product_variation,BK 1179,bk-1179,BK-1179,,BK-PALETTE,BK 1179,1,#f2d1ad,
product_variation,BK 1180,bk-1180,BK-1180,,BK-PALETTE,BK 1180,1,#f6cca3,
product_variation,BK 1185,bk-1185,BK-1185,,BK-PALETTE,BK 1185,1,#e9bda1,
product_variation,BK 1192,bk-1192,BK-1192,,BK-PALETTE,BK 1192,1,#cdd1b0,
product_variation,BK 1193,bk-1193,BK-1193,,BK-PALETTE,BK 1193,1,#bbbe96,
product_variation,BK 1194,bk-1194,BK-1194,,BK-PALETTE,BK 1194,1,#acb185,
product_variation,BK 1197,bk-1197,BK-1197,,BK-PALETTE,BK 1197,1,#dcd9ad,
product_variation,BK 1198,bk-1198,BK-1198,,BK-PALETTE,BK 1198,1,#d4d49e,
product_variation,BK 1203,bk-1203,BK-1203,,BK-PALETTE,BK 1203,1,#e3e2b3,
